Soundtrack; Composer; Composer Birthday
1942; Akari Kaida; 1974-01-10
Ace Attorney; Akari Kaida; 1974-01-10
Bionic Commando; Akari Kaida; 1974-01-10
Breath of Fire; Akari Kaida; 1974-01-10
Buster Bros.; Akari Kaida; 1974-01-10
Commando; Akari Kaida; 1974-01-10
Darkstalkers; Akari Kaida; 1974-01-10
Dark Void; Akari Kaida; 1974-01-10
Dead Rising; Akari Kaida; 1974-01-10
Devil May Cry; Akari Kaida; 1974-01-10
Dino Crisis; Akari Kaida; 1974-01-10
Dragon's Dogma; Akari Kaida; 1974-01-10
Final Fight; Akari Kaida; 1974-01-10
Gaist Crusher; Akari Kaida; 1974-01-10
Ghosts 'n Goblins; Akari Kaida; 1974-01-10
Lost Planet; Akari Kaida; 1974-01-10
Mega Man; Akari Kaida; 1974-01-10
Monster Hunter; Akari Kaida; 1974-01-10
Ōkami; Akari Kaida; 1974-01-10
Onimusha; Akari Kaida; 1974-01-10
Power Stone; Akari Kaida; 1974-01-10
Resident Evil; Akari Kaida; 1974-01-10
Rival Schools; Akari Kaida; 1974-01-10
Sengoku Basara; Akari Kaida; 1974-01-10
SonSon; Akari Kaida; 1974-01-10
Star Gladiator; Akari Kaida; 1974-01-10
Steel Battalion; Akari Kaida; 1974-01-10
Street Fighter; Akari Kaida; 1974-01-10
Strider; Akari Kaida; 1974-01-10
Versus; Akari Kaida; 1974-01-10
Viewtiful Joe; Akari Kaida; 1974-01-10
Popeye 2; Akihiko Mori; n/a
Volley Fire; Akihiko Mori; n/a
Zen-Nippon Pro Wrestling Jet; Akihiko Mori; n/a
Zettai Muteki Raijin-Oh; Akihiko Mori; n/a
Cutie Suzuki no Ringside Angel; Akihiko Mori; n/a
Power Drift; Akihiko Mori; n/a
Acrobat Mission; Akihiko Mori; n/a
Bassin's Black Bass with Hank Parker; Akihiko Mori; n/a
Galaxy Robo; Akihiko Mori; n/a
Gokinjo Boukentai; Akihiko Mori; n/a
Keiba Yosou Baken Renkinjutsou; Akihiko Mori; n/a
Kidou Senshi Z-Gundam: Away to the NewType; Akihiko Mori; n/a
Koutetsu no Kishi; Akihiko Mori; n/a
Koutetsu no Kishi 2: Sabaku no Rommel Shougun; Akihiko Mori; n/a
Koutetsu no Kishi 3: Gekitotsu Europe Sensen; Akihiko Mori; n/a
Lennus II: Fuuin no Shito; Akihiko Mori; n/a
Mystic Ark; Akihiko Mori; n/a
Otoboke Ninja Colosseum; Akihiko Mori; n/a
Paladin's Quest; Akihiko Mori; n/a
Seifuku Densetsu: Pretty Fighter; Akihiko Mori; n/a
Shien - The Blade Chaser; Akihiko Mori; n/a
Shounen Ninja Sasuke; Akihiko Mori; n/a
Super Air Diver; Akihiko Mori; n/a
Wonder Project J; Akihiko Mori; n/a
Seifuku Densetsu: Pretty Fighter X; Akihiko Mori; n/a
