Rod Abernethy 
Tilo Alpermann 
Masamichi Amano 
Yoshino Aoki 
Noriyuki Asakura 
Michael Bacon 
Angelo Badalamenti 
Clint Bajakian 
Lorne Balfe 
Danny Baranowsky 
Marc Baril 
Stephen Barton 
Joe Basquez 
Jean Baudlot 
David Bergeaud 
Daniel Bernstein 
Teddy Blass 
Alexander Brandon 
Allister Brimble 
Russell Brower 
Bill Brown 
Sean Callery 
Pedro Macedo Camacho 
Stuart Chatwood 
Jun Chikuma 
Jamie Christopherson 
Elia Cmíral 
Combichrist 
Peter Connelly 
Stewart Copeland 
Normand Corbeil 
Jonathan Coulton 
Ben Daglish
Joris de Man 
Charles Deenen 
Fabian Del Priore 
Rom Di Prisco 
James Dooley 
Howard Drossin 
Justin R. Durban 
Dynamedion 
Randy Edelman
Greg Edmonson 
Takahito Eguchi 
Jared Emerson-Johnson 
Eminence Symphony Orchestra 
Eveline Fischer (now Eveline Novakovic) 
Ron Fish 
Tim Follin 
Troels Brun Folmann 
Dan Forden 
Toby Fox 
Hiroshi Fujioka 
Yasuhiko Fukuda 
Kenichiro Fukui 
Brad Fuller (composer) 
Martin Galway 
Genki Rockets 
Raphaël Gesqua 
Michael Giacchino 
Mick Gordon 
Simon Gosling 
Jason Graves 
Fred Gray 
Gustaf Grefberg 
Harry Gregson-Williams 
Mark Griskey 
Peter Hajba 
Masashi Hamauzu 
Kentaro Haneda 
James Hannigan 
Jon Hare 
Kurt Harland 
Aki Hata (occasionally credited as AKI) 
Kärtsy Hatakka 
Christophe Héral 
Norihiko Hibino 
Miki Higashino 
Susumu Hirasawa 
Joe Hisaishi 
Silas Hite 
Michael Hoenig 
Alec Holowka 
Shinji Hosoe 
Rob Hubbard 
Chris Huelsbeck 
Michael Hunter 
Tsuneo Imahori 
Laura Intravia 
Mark Isham
Daisuke Ishiwatari 
Naoki Itamura 
Kenji Ito 
Noriyuki Iwadare 
Masaharu Iwata 
Hiroyuki Iwatsuki 
Takahiro Izutani 
Steve Jablonsky 
Lee Jackson 
Richard Jacques 
JAM Project 
Richard Joseph 
Jph Wacheski
Akari Kaida 
Yuki Kajiura 
Yoko Kanno 
Jake Kaufman 
Kenji Kawai 
Hiroki Kikuta 
Steve Kirk 
Grant Kirkhope 
Frank Klepacki 
Chris Kline 
Mark Knight 
Geoff Knorr 
Hideyaki Kobayashi 
Saori Kobayashi 
Konami Kukeiha Club (KONAMI's sound team)
Koji Kondo 
Yuzo Koshiro 
Taro Kudo 
Kukeiha Club 
Jesper Kyd 
Michael Land 
Tim Larkin 
Jean-Marc Lederman 
Barry Leitch 
Christopher Lennertz 
Daniel Licht 
Russell Lieblich 
Richard Ludlow 
Rob Lord 
Mark Lovegrove 
Alph Lyla (CAPCOM's sound team)
Naoki Maeda 
Jun Maeda 
Josh Mancell 
Mark Mancina
Christopher Mann 
Kevin Manthei 
Jerry Martin 
Junichi Masuda 
Noriko Matsueda 
Michael McCann 
Peter McConnell 
Nathan McCree 
Shoji Meguro 
Robyn Miller 
Toru Minegishi 
Yasunori Mitsuda 
Yuu Miyake 
Hiroshi Miyazaki (sometimes referred to as Miyashiro Sugito or MIYA) 
Naoshi Mizuta 
Mike Morasky 
Mark Morgan 
Akihiko Mori 
Mark Mothersbaugh 
Atsuhiro Motoyama 
Rika Muranaka 
Mutato Muzika 
Hideki Naganuma 
Masato Nakamura 
Takayuki Nakamura 
Junya Nakano 
Akito Nakatsuka 
Junichi Nakatsuru 
Manabu Namiki 
Michiko Naruke 
Tomohito Nishiura 
Graeme Norgate 
Martin O'Donnell 
Hisayoshi Ogura 
Kow Otani
Tomoya Ohtani 
Hiroshi Okubo 
Shinji Orito 
Michiru Oshima 
Kenichi Okuma 
Winifred Phillips 
Stéphane Picq 
Robert 'Bobby' Prince 
Ari Pulkkinen 
Simon Ravn 
Trent Reznor 
Kevin Riepl 
Stephen Rippy 
Paul Romero 
Daniel Rosenfeld 
Lior Rosner 
Mark Rutherford 
Toshihiko Sahashi 
Sakari 
Hitoshi Sakimoto 
Motoi Sakuraba 
Tom Salta 
Michael Salvatori 
George 'The Fat Man' Sanger 
Nobuyoshi Sano 
Ryuji Sasai 
Tenpei Sato 
Kan Sawada
Hiroyuki Sawano 
Kazuo Sawa 
Brian L. Schmidt 
Garry Schyman 
Andrew Sega 
Mark Seibert 
Tsuyoshi Sekito 
Jun Senoue 
Alex Seropian 
Russell Shaw 
Laura Shigihara 
Go Shiina 
Yoko Shimomura 
Mark Snow 
Masayoshi Soken 
Jeremy Soule 
Christopher Stevens 
Koichi Sugiyama 
Keiichi Suzuki 
Masafumi Takada 
Yukihide Takekawa 
Tommy Tallarico 
Hirokazu 'Hip' Tanaka 
Kohei Tanaka 
Kumi Tanioka 
Mikko Tarmia 
Tsukasa Tawada 
Jeroen Tel 
Soichi Terada 
Chance Thomas 
Chris Tilton 
Christopher Tin 
Magome Togoshi 
Kazumi Totaka 
Yuka Tsujiyoko 
Brian Tyler 
Jeff Tymoschuk 
Matt Uelmen 
Tatsuya Uemura 
Nobuo Uematsu 
Michiel van den Bos 
Jeff van Dyck 
Cris Velasco 
Neil D. Voss 
Rich Vreeland 
Chris Vrenna 
Jack Wall 
Guy Whitmore 
David Whittaker 
Austin Wintory 
David Wise 
Jezz Woodroffe 
Tim Wright 
Kenji Yamamoto 
Kenji Yamamoto 
Michiru Yamane 
Akira Yamaoka 
Kinuyo Yamashita 
Mahito Yokota 
Kenneth Young 
Hans Zimmer 
ZUN 
Zuntata (Taito's sound team)
Inon Zur 
