Rank, Album Name, Rating, #votes, Popularity
1, DIABOLIK LOVERS Vol.1 Bonus CD, 3.80, 15, 0.0006
2, Eiga Precure Dream Stars! Original✿Soundtrack, 4.10, 15, 0.0006
3, DIABOLIK LOVERS, 4.04, 14, 0.0006
4, Haikyu!! SPECIAL DISC VOL. 07, 4.04, 14, 0.0006
5, Eiga Kirakira☆Precure à la Mode Paris-tto! Omoide no Mille-feuille! Original Soundtrack, 4.50, 13, 0.0006
6, nightmare, 4.31, 13, 0.0006
7, Haikyu!! SPECIAL DISC VOL. 01, 4.31, 13, 0.0006
8, Haikyu!! SPECIAL DISC VOL. 02, 4.31, 13, 0.0006
9, Haikyu!! SPECIAL DISC VOL. 03, 4.31, 13, 0.0006
10, Haikyu!! SPECIAL DISC VOL. 04, 4.31, 13, 0.0006
11, Haikyu!! SPECIAL DISC VOL. 05, 4.31, 13, 0.0006
12, Haikyu!! SPECIAL DISC VOL. 08, 4.31, 13, 0.0006
13, Haikyu!! SPECIAL DISC VOL. 09, 4.31, 13, 0.0006
14, DIVE!! Original Soundtrack & Original Drama CD, 5.00, 11, 0.0006
15, Haikyu!! SPECIAL DISC VOL. 06, 5.00, 11, 0.0006
16, SQUARE ENIX MUSiC SAMPLER CD Vol.10, 4.58, 13, 0.0029
17, The Best of Final Fantasy 1994-1999: A Musical Tribute, 1.00, 11, 0.0034
18, Kirakira☆Precure à la Mode Original Soundtrack 1: Precure☆Sound☆Decoration!!, 4.33, 15, 0.0040
19, Ao Haru Ride Original Soundtrack, 4.29, 14, 0.0043
20, DIVE!! Original Soundtrack (Special Edition), 3.77, 11, 0.0044
21, GUNDAM BUILD FIGHTERS TRY ORIGINAL SOUNDTRACK 02, 4.13, 16, 0.0046
22, GUNDAM BUILD FIGHTERS TRY ORIGINAL SOUNDTRACK 02, 4.41, 16, 0.0063
23, DIABOLIK LOVERS Vol.4 Bonus CD, 4.10, 15, 0.0077
24, Music Inspired By Final Fantasy, 1.54, 12, 0.0087
25, ONE PIECE FILM GOLD Original Soundtrack, 4.12, 17, 0.0087
26, Xenoblade Chronicles X Soundtrack Selection, 1.50, 14, 0.0091
27, PROMARE ORIGINAL SOUNDTRACK, 4.86, 11, 0.0123
28, 2V-ALK / SawanoHiroyuki[nZk] [Limited Edition], 4.25, 12, 0.0125
29, TRICKSTER -Edogawa Ranpo "Shounen Tanteidan" yori- ORIGINAL SOUNDTRACK, 4.06, 18, 0.0126
30, KABANERI OF THE IRON FORTRESS COMPLETE SOUNDTRACK, 4.13, 16, 0.0136
31, 2V-ALK / SawanoHiroyuki[nZk], 4.29, 12, 0.0136
32, MY HERO ACADEMIA 2018 Original Soundtrack, 3.88, 12, 0.0136
33, DIABOLIK LOVERS MORE,BLOOD I Bonus CD, 5.00 (14), 0.0136
34, SOUL EATER NOT! ORIGINAL SOUNDTRACK SELECTION, 4.00, 17, 0.0138
35, KODOKU NO KAKE -itoshiki hitoyo- Original Soundtrack, 5.00, 11, 0.0152
36, A Song to the Sun ORIGINAL SOUNDTRACK, 4.95, 11, 0.0155
37, SOUL EATER NOT! NOTri! CD5 ~ BGM Collection Part1, 4.77, 13, 0.0159
38, SOUL EATER NOT! NOTri! CD6 ~ BGM Collection Part2, 4.77, 13, 0.0159
39, DRAMAtical Murder SPECIAL CDs, 4.18, 17, 0.0165
40, TV ANIMATION "HAIKYU!! SECOND SEASON" ORIGINAL SOUNDTRACK 1, 4.50, 20, 0.0172
41, TV ANIMATION "HAIKYU!! SECOND SEASON" ORIGINAL SOUNDTRACK 2, 4.79, 17, 0.0174
42, ROBOTICS;NOTES Vol.3 Bonus CD, 4.36, 14, 0.0176
43, TV ANIMATION RUN WITH THE WIND ORIGINAL SOUNDTRACK, 3.93, 14, 0.0185
44, GUNDAM BUILD FIGHTERS TRY ORIGINAL SOUNDTRACK 01, 4.08, 19, 0.0186
45, Classroom☆Crisis Original Soundtrack, 3.93, 22, 0.0192
46, BOSS ORIGINAL SOUNDTRACK, 4.98, 22, 0.0200
47, ROBOTICS;NOTES Vol.8 Bonus CD, 4.50, 15, 0.0201
48, BLUE EXORCIST Kyoto Saga Original Soundtrack, 4.08, 13, 0.0207
49, Boku dake ga Inai Machi Original Soundtrack, 4.64, 14, 0.0214
50, GUILTY CROWN COMPLETE SOUNDTRACK, 4.75, 14, 0.0216
51, STREETS OF RAGE, 4.36, 11, 0.0224
52, musica / Hiroyuki Sawano, 4.75, 16, 0.0224
53, Blood Lad O.S.T. 2, 4.29, 17, 0.0227
54, Konami Game Music Remix Series Vol.1 Dracula X Remixies, 1.77, 13, 0.0230
55, TV ANIMATION ROBOTICS;NOTES ORIGINAL SOUNDTRACK, 4.13, 19, 0.0233
56, TV ANIMATION MY HERO ACADEMIA 2nd ORIGINAL SOUND TRACK, 4.26, 21, 0.0239
57, Blood Lad O.S.T. 1, 4.17, 18, 0.0254
58, GUILTY CROWN SOUNDTRACK ANOTHER SIDE 03, 4.42, 12, 0.0255
59, SONIC Adventure REMIX, 3.50, 12, 0.0259
60, MOBILE SUIT GUNDAM NARRATIVE ORIGINAL SOUNDTRACK, 4.43, 21, 0.0269
61, Kirakira☆Precure à la Mode Original Soundtrack 2: Precure♡Sound♡Go Round!!, 4.24, 19, 0.0273
62, TV Animation "Sengoku BASARA Ni" Ongaku Emaki Ni ~Ransei, Futatabi!~, 4.63 (12), 0.0276
63, ZOMBIE-LOAN ORIGINAL SOUNDTRACK, 4.77, 13, 0.0277
64, SONIC ADVENTURE 2 Original Soundtrack 20th Anniversary Edition, 4.14, 11, 0.0278
65, Junji Ito Collection ORIGINAL SOUNDTRACK, 4.27, 11, 0.0278
66, THE KING OF SOUNDTRACKS '94-XIII, 4.36, 11, 0.0281
67, UnChild / SawanoHiroyuki[nZk]:Aimer, 4.54, 14, 0.0281
68, Best of the Best, Volume I, 2.77 (13), 0.0281
69, GUILTY CROWN SOUNDTRACK ANOTHER SIDE 02, 4.46, 12, 0.0283
70, R∃/MEMBER / SawanoHiroyuki[nZk], 4.86, 14, 0.0288
71, KIZNAIVER ORIGINAL SOUNDTRACK 01, 4.36, 18, 0.0289
72, KIZNAIVER ORIGINAL SOUNDTRACK 02, 4.19, 18, 0.0291
73, Dragon Quest Best Dance Mix, 2.17, 12, 0.0292
74, TALES OF THE TEMPEST Original Soundtrack, 3.14, 11, 0.0296
75, Denpa Ningen no RPG Original Soundtrack, 2.54, 12, 0.0304
76, Thunderbolt Fantasy Sword seekers Original Soundtrack, 4.75, 18, 0.0305
77, Attack on Titan -Guren no Yumiya- Original sound track, 4.29, 12, 0.0308
78, Shin Megami Tensei: Persona 3 Original Soundtrack, 3.41, 11, 0.0310
79, The Seven Deadly Sins ORIGINAL SOUNDTRACK 2, 4.28, 16, 0.0320
80, We Are Error, 4.23, 11, 0.0320
