Rank,Album Name,Rating (#votes),Popularity
1,Diabolik Lovers ,3.80 (15),0.0006
2,Eiga Precure Dream Stars!,4.10 (15),0.0006
3,Diabolik Lovers,4.04 (14),0.0006
4,Haikyu ,4.04 (14),0.0006
5,Eiga Kirakira precure a La Mode Paris-tto! Omoide No Mille-feuille!,4.50 (13),0.0006
6,Nightmare,4.31 (13),0.0006
14,Dive & Drama,5.00 (11),0.0006
16,Square Enix,4.58 (13),0.0029
17,The Best Of Final Fantasy 1994-1999: A Musical Tribute,1.00 (11),0.0034
18,Kirakira precure a La Mode 1: Precure sound decoration,4.33 (15),0.0040
19,Ao Haru Ride  ,4.29 (14),0.0043
20,Dive,3.77 (11),0.0044
23,Diabolik Lovers ,4.10 (15),0.0077
24,Music Inspired By Final Fantasy,1.54 (12),0.0087
25,One Piece Film Gold  ,4.12 (17),0.0087
26,Xenoblade Chronicles X  Selection,1.50 (14),0.0091
27,Promare  ,4.86 (11),0.0123
28,2v-alk / Sawanohiroyuki[nzk] [],4.25 (12),0.0125
29,"Trickster -edogawa Ranpo ""shounen Tanteidan"" Yori-  ",4.06 (18),0.0126
30,Kabaneri Of The Iron Fortress Complete ,4.13 (16),0.0136
31,2v-alk / Sawanohiroyuki[nzk],4.29 (12),0.0136
32,My Hero Academia 2018  ,3.88 (12),0.0136
33,Diabolik Lovers More Blood,5.00 (14),0.0136
34,Soul Eater Not!   Selection,4.00 (17),0.0138
35,Kodoku No Kake -itoshiki Hitoyo-  ,5.00 (11),0.0152
36,A Song To The Sun  ,4.95 (11),0.0155
37,Soul Eater Not! Notri!,4.77 (13),0.0159
38,Soul Eater Not! Notri!,4.77 (13),0.0159
39,Dramatical Murder,4.18 (17),0.0165
42,Robotics;notes ,4.36 (14),0.0176
45,Classroom crisis  ,3.93 (22),0.0192
46,Boss  ,4.98 (22),0.0200
47,Robotics;notes ,4.50 (15),0.0201
48,Blue Exorcist Kyoto Saga  ,4.08 (13),0.0207
49,Boku Dake Ga Inai Machi  ,4.64 (14),0.0214
50,Guilty Crown Complete ,4.75 (14),0.0216
51,Streets Of Rage,4.36 (11),0.0224
52,Musica / Hiroyuki Sawano,4.75 (16),0.0224
54,Konami Game Music Remix Series ,1.77 (13),0.0230
59,Sonic Adventure Remix,3.50 (12),0.0259
60,Mobile Suit Gundam Narrative  ,4.43 (21),0.0269
61,Kirakira precure a La Mode 2: Precure sound go Round,4.24 (19),0.0273
63,Zombie-loan  ,4.77 (13),0.0277
64,Sonic Adventure 2   20th Anniversary Edition,4.14 (11),0.0278
65,Junji Ito Collection  ,4.27 (11),0.0278
66,The King Of S '94-xiii,4.36 (11),0.0281
67,Unchild / Sawanohiroyuki[nzk]:aimer,4.54 (14),0.0281
68,Best Of The Best,2.77 (13),0.0281
70,Sawanohiroyuki[nzk],4.86 (14),0.0288
73,Dragon Quest Best Dance Mix,2.17 (12),0.0292
74,Tales Of The Tempest  ,3.14 (11),0.0296
75,Denpa Ningen No Rpg  ,2.54 (12),0.0304
76,Thunderbolt Fantasy Sword Seekers  ,4.75 (18),0.0305
77,Attack On Titan -guren No Yumiya-  Sound Track,4.29 (12),0.0308
78,Shin Megami Tensei: Persona 3  ,3.41 (11),0.0310
80,We Are Error,4.23 (11),0.0320
81,Donkey Kong Country 3: Double The Trouble!,3.21 (12),0.0323
82,Platina Data  ,4.95 (11),0.0324
83,Death Parade   Digest Edition,3.75 (22),0.0325
84,Gradius House Remix,2.35 (13),0.0331
86,Kill La Kill,3.87 (15),0.0333
87,Triangle  ,4.98 (22),0.0334
88,Zelda Triforce Trilogy,3.90 (15),0.0345
89,Decade Of Expose,3.23 (11),0.0350
92,Rockman Holic ~the 25th Anniversary~,3.82 (11),0.0355
93,Dione Aggregation,4.00 (11),0.0361
94,Narrative/noiseofrain / Sawanohiroyuki[nzk],4.41 (17),0.0362
95,Seraph Of The End: Battle In Nagoya  ,4.38 (13),0.0364
96,The Legend Of Zelda: Breath Of The Wild,3.25 (16),0.0366
97,Sonic The Hedgehog 2: Hedgehog Heaven,3.54 (12),0.0369
98,Over The Rainbow,4.36 (11),0.0369
99,Before The Fall: Final Fantasy Xiv  ,3.63 (12),0.0370
100,Dissidia Final Fantasy -arcade-  ,3.03 (16),0.0371
101,Blue Exorcist Plugless [],4.64 (14),0.0372
102,Solitude Blossom,3.55 (11),0.0374
103,Valhalla Knights -eldar Saga-  ,3.13 (12),0.0381
104,Final Fantasy X-2 Vocal Collection Paine,2.27 (13),0.0382
105,Play! A Video Game Symphony Live!,2.71 (14),0.0382
106,Distant Worlds Iii: More Music From Final Fantasy,3.82 (11),0.0386
107,Grand Theft Auto: Vice City Official  Box Set,4.58 (12),0.0390
108,Portal 2: Songs To Test By ,3.95 (11),0.0398
110,Ridge Laser,2.75 (12),0.0399
111,Yamanaiame,4.54 (12),0.0400
112,Shenmue Jukebox,3.41 (11),0.0403
113,Spectrum Of Mana,4.27 (11),0.0404
114,Street Fighter X Tekken  Sound Track,3.09 (11),0.0405
115,Death Parade Blu-ray Box Bonus Discs,4.42 (19),0.0407
116,Mare  ,4.72 (23),0.0410
117,The Legend Of Heroes: Sen No Kiseki Ii  ,4.45 (11),0.0413
118,Immortal 2,3.68 (11),0.0413
119,Mega Man X: Maverick Rising,4.00 (15),0.0417
120,Gradius Tribute,2.50 (12),0.0419
121,Teenage Mutant Ninja Turtles: Shell Shocked,3.82 (11),0.0420
122,Dmc: Devil May Cry Noisia ,2.58 (12),0.0424
123,Sonic Adventure   20th Anniversary Edition,4.64 (11),0.0424
125,Seraph Of The End  ,4.37 (15),0.0425
126,Speed Nation: The  Rr64 ,3.36 (11),0.0427
127,N7 Collector's Edition ,3.50 (11),0.0437
128,Sonic The Hedgehog: The Sound Of Speed,3.75 (14),0.0439
129,Triple Threat: Sonic Heroes Vocal Trax,3.85 (13),0.0439
130,Shadow The Hedgehog  Soundtrax,4.08 (13),0.0440
131,Final Fantasy Xv  ,3.65 (13),0.0441
132,Pop | Culture,2.79 (12),0.0442
133,Alice Order  ,4.71 (19),0.0450
134,Devilman Crybaby  ,4.05 (11),0.0451
135,Blue Reflection Official ,4.64 (11),0.0452
138,1080 degrees Snow Boarding,2.77 (11),0.0459
139,O1 / Sawanohiroyuki[nzk],4.68 (11),0.0459
140,Sengoku Basara -the Last Party- Ongaku Emaki ~saraba Tomo yo,4.58 (12),0.0461
141,Mario Sports,3.77 (11),0.0462
143,Monster Hunter Swing ~big Band Jazz Arrange~,3.45 (11),0.0464
144,X.U. | Scapegoat / Sawanohiroyuki[nzk] [],4.42 (13),0.0466
145,Medal Of Honor   Recording,4.27 (11),0.0472
146,Blood On The Asphalt: A Super Street Fighter 2 Turbo Remix Collaboration,3.00 (19),0.0473
147,Crimson Blitz - Lightning Returns:final Fantasy Xiii,3.58 (12),0.0481
148,Rockman X Command Mission  ,3.86 (11),0.0481
149,Shenmue,3.83 (12),0.0483
150,Capcom Vs. Snk Millennium Fight 2000  ,3.15 (13),0.0483
151,Hiroyuki Sawano Best Of  [emu] [],4.38 (13),0.0484
152,Heroes Vs. Villains,3.91 (16),0.0487
153,Red,4.08 (12),0.0487
154,Persona 4  Side A,3.97 (15),0.0489
155,Perfect Collection Brandish,3.09 (11),0.0491
156,"Rockman Zx Soundsketch ""zx Gigamix",3.88 (12),0.0491
158,Mega Man 2 : Beat The 8 Super Robots With 8 Bit Instrumental,3.91 (11),0.0493
159,Tsubasa Chronicle   - Future Soundscape I,4.09 (11),0.0494
160,The Legend Of Zelda: Majora's Mask,4.04 (12),0.0498
161,Seiken Densetsu Rise Of Mana  ,2.70 (15),0.0501
162,Devil May Cry 5  ,3.73 (11),0.0504
163,Halo 4  ,3.58 (12),0.0505
164,Bioshock Infinite Digital ,3.50 (12),0.0508
165,Tales Of Xillia2  ,3.41 (11),0.0510
166,Aldnoah.Zero Rearrange ,4.43 (15),0.0512
167,Castlevania: Symphony Of The Night - Resurrection,3.42 (12),0.0514
168,Mario Party 3  ,3.29 (14),0.0514
169,Tokyo Xanadu  ,4.14 (11),0.0514
170,Diablo Iii Collector's Edition ,3.77 (11),0.0515
171,Da Banana Bunch: The  Donkey Kong 64 ,3.38 (13),0.0517
172,Star Ocean: The Second Story Fantasy Megamix,3.23 (13),0.0517
173,Sounds From The Lighthouse: Official Bioshock 2 Score,3.46 (13),0.0517
174,Muchimuchipork!  Sound Track,3.32 (11),0.0519
175,Welcome To The Ballroom  ,4.35 (23),0.0520
176,Akumajo Dracula -odi Et Amo-,3.46 (12),0.0527
177,Lost And Found : Shadow The Hedgehog Vocal Trax,3.95 (11),0.0528
178,Metal Gear Rising: Revengeance ,3.27 (15),0.0530
179,Leg Vacuum,4.18 (11),0.0530
180,The Legend Of Xanadu Super Arrange Version,3.50 (13),0.0532
181,Sonic The Hedgehog 4 Episode I & Ii  ,3.08 (19),0.0532
182,Haunted Dancehall,3.89 (14),0.0533
183,Kokoro Vibration,4.79 (12),0.0534
184,Dodonpachi Saidaioujou Arrange Album,3.36 (11),0.0535
185,A/z|aliez / Sawanohiroyuki[nzk] [],4.38 (12),0.0538
186,Exserens,4.39 (14),0.0539
187,Steinsgate,4.55 (11),0.0541
188,Ryuusei No Rockman 1&2  ,3.73 (11),0.0542
189,Split Theory,4.23 (13),0.0543
191,Pokemon Black 2/White 2,4.16 (19),0.0545
192,Image Album Ys V Ushinawareta Suna No Miyako Kefin,3.23 (11),0.0545
194,"The Legend Of Heroes ""sora No Kiseki Fc & Sc"" Super Arrange Version",4.13 (12),0.0547
195,Nadir,4.59 (11),0.0548
196,Nights: Lucid Dreaming,3.79 (14),0.0548
197,Puella Magi Madoka magica The Movie  ,3.89 (14),0.0548
198,True Blue: The Best Of Sonic The Hedgehog,4.07 (15),0.0549
199,Elminage ~yami No Miko To Kamigami No Yubiwa~  ,3.41 (11),0.0552
200,Remastered Tracks Rockman Zero,3.90 (15),0.0554
201,Zone Of The Enders Remix Edition,3.47 (16),0.0555
202,Gundam Build Fighters  ,4.27 (26),0.0556
203,The Baku Bom! Baku Bomberman  ,3.57 (15),0.0556
204,Metal Gear 25th Anniversary ~ Metal Gear Music Collection,4.18 (11),0.0557
205,Xenogears Light | An Arranged Album,2.64 (14),0.0561
206,Mr. Driller Sound Tracks,4.00 (11),0.0561
207,Biohazard 2 Remix~met@morphoses~,2.95 (11),0.0561
208,Chocobo To Mahou No Ehon Series  ,3.45 (11),0.0562
209,Final Fantasy V: The Fabled Warriors ~i. Wind~,3.34 (16),0.0562
210,Naruto   Ii,4.23 (11),0.0563
211,Secret Of Mana  ,3.50 (12),0.0564
212,Gekijouban Fate,4.27 (11),0.0565
213,Jiyuu E No Shingeki / Linked Horizon [],3.29 (12),0.0565
214,Bokujou Monogatari ~ Harvest Moon  ,3.64 (14),0.0565
215,Pachislot Akumajo Draculaii  ,2.86 (11),0.0566
216,Devil Summoner: Soul Hackers Arrange Sound Track,4.27 (11),0.0568
217,Final Fantasy Remix,2.66 (19),0.0568
