Rank, Album Name, Rating, #votes, Popularity
1, CHRONO CROSS ORIGINAL SOUNDTRACK, 4.73, 155, 1.0000
2, FINAL FANTASY VI ORIGINAL SOUND VERSION, 4.65, 117, 0.8424
3, FINAL FANTASY VII Original Sound Track [Limited Edition], 4.27, 126, 0.7838
4, CHRONO TRIGGER ORIGINAL SOUND VERSION, 4.54, 117, 0.7801
5, FINAL FANTASY VIII Original Soundtrack, 4.46, 120, 0.7102
6, Akumajo Dracula X ~Gekka no Nocturne~ Original Game Soundtrack, 4.65, 112, 0.6974
7, FINAL FANTASY X Original Soundtrack, 4.31, 114, 0.6940
8, NieR Gestalt & Replicant Original Soundtrack, 4.56, 126, 0.6784
9, Xenogears ORIGINAL SOUNDTRACK, 4.54, 99, 0.6782
10, Wander and the Colossus Original Soundtrack: Roar of the Earth, 4.53, 103, 0.6760
11, FINAL FANTASY IX Original Soundtrack, 4.50, 104, 0.6719
12, Seiken Densetsu 2 Original Sound Version, 4.57, 83, 0.5800
13, FINAL FANTASY XII Original Soundtrack [Limited Edition], 4.41, 93, 0.5719
14, FINAL FANTASY TACTICS Original Sound Track, 4.57, 80, 0.5684
15, CREID, 4.65, 75, 0.5528
16, SILENT HILL 2 ORIGINAL SOUNDTRACKS, 4.54, 83, 0.5304
17, FINAL FANTASY V ORIGINAL SOUND VERSION, 4.22, 67, 0.5049
18, Xenoblade Original Soundtrack, 4.18, 92, 0.4965
19, Piano Collections FINAL FANTASY X, 4.36, 60, 0.4930
20, Seiken Densetsu / Legend of Mana Original Soundtrack, 4.36, 59, 0.4923
21, Soukaigi Original Soundtrack, 4.58, 54, 0.4883
22, Okami Original Soundtrack, 4.44, 77, 0.4882
23, SUPER MARIO GALAXY ORIGINAL SOUND TRACK Platinum Version, 4.40, 77, 0.4868
24, PERFECT SELECTION DRACULA BATTLE, 4.57, 64, 0.4662
25, drammatica -The Very Best of Yoko Shimomura-, 4.57, 63, 0.4661
26, BRAVELY DEFAULT FLYING FAIRY Original Soundtrack, 4.46, 70, 0.4628
27, VAGRANTSTORY Original Soundtrack, 4.64, 55, 0.4440
28, SaGa FRONTIER II Original Soundtrack, 4.38, 52, 0.4413
29, FINAL FANTASY XIII Original Soundtrack, 4.43, 63, 0.4394
30, parasite eve Original Soundtrack, 4.44, 57, 0.4367
31, FINAL FANTASY IV ORIGINAL SOUND VERSION, 4.23, 66, 0.4349
32, GRANDIA ORIGINAL SOUNDTRACKS, 4.57, 44, 0.4317
33, FITHOS LUSEC WECOS VINOSEC: FINAL FANTASY VIII [Limited Edition], 4.43, 56, 0.4289
34, kiЯitɘ, 4.62, 46, 0.4204
35, Akumajo Dracula Best 2, 4.64, 50, 0.4201
36, KINGDOM HEARTS Original Soundtrack COMPLETE, 4.61, 52, 0.4193
37, The Legend of Zelda: Ocarina of Time Original Sound Track, 4.33, 58, 0.4139
38, Metal Gear Solid Original Game Soundtrack, 4.22, 56, 0.4036
39, UNLIMITED:SaGa Original Soundtrack, 4.38, 48, 0.4019
40, Capcom Music Generation Famicom Music Complete Works Rockman 1~6, 4.55, 49, 0.4002
41, Myth: The Xenogears Orchestral Album, 4.10, 54, 0.3995
42, Capcom Music Generation Rockman X1~6, 4.53, 55, 0.3991
43, LOST ODYSSEY ORIGINAL SOUNDTRACK, 4.15, 48, 0.3930
44, Akumajo Dracula Famicom Best, 4.55, 47, 0.3893
45, Symphonic Fantasies - music from SQUARE ENIX, 4.51, 46, 0.3873
46, PERFECT SELECTION DRACULA BATTLE II, 4.44, 47, 0.3823
47, Seiken Densetsu 3 Original Sound Version, 4.42, 46, 0.3814
48, Final Fantasy Vocal Collections I -Pray-, 4.53, 38, 0.3791
49, Akumajo Dracula Best Music Collections BOX, 4.70, 58, 0.3732
50, Super Mario 64 Original Soundtrack, 4.36, 56, 0.3727
51, GENSOSUIKODEN ORIGINAL GAME SOUNDTRACK, 4.53, 48, 0.3723
52, SYMPHONIC SUITE FINAL FANTASY, 4.41, 45, 0.3707
53, THE BLACK MAGES, 4.11, 58, 0.3696
54, Super Mario World, 4.60, 49, 0.3681
55, FINAL FANTASY IV Celtic Moon, 4.30, 45, 0.3660
56, ETERNAL ARCADIA ORIGINAL SOUND TRACK, 4.40, 46, 0.3652
57, Shenmue chapter 1 -yokosuka- Original Sound Track, 4.30, 44, 0.3629
