,Game,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Developer,ESRB Rating,Composer,Composer Birthday,Composer Rank,Composer Rating,VGMDB Soundtrack Rating,VGMDB Soundtrack Popularity,mp3 Downloads Rank
0,Wii Sports,Wii,2006,Sports,Nintendo,76.0,8,Nintendo,E,Kazumi Totaka,1967-08-23,6777.0,4.07,,,278.0
1,Pokemon Red/green/blue/yellow,GB,1996,Role-Playing,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,235.0
2,Pokemon Red/green/blue/yellow,GB,1996,Role-Playing,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,948.0
3,Tetris,GB,1989,Puzzle,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,364.0
4,Tetris,GB,1989,Puzzle,Nintendo,,,,,Jun Senoue,1970-08-02,6091.0,4.12,,,364.0
5,Tetris,GB,1989,Puzzle,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,364.0
6,Tetris,GB,1989,Puzzle,Nintendo,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,,,364.0
7,Tetris,NES,1988,Puzzle,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,364.0
8,Tetris,NES,1988,Puzzle,Nintendo,,,,,Jun Senoue,1970-08-02,6091.0,4.12,,,364.0
9,Tetris,NES,1988,Puzzle,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,364.0
10,Tetris,NES,1988,Puzzle,Nintendo,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,,,364.0
11,Duck Hunt,NES,1984,Shooter,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,227.0
12,Pokemon Gold/silver/crystal,GB,1999,Role-Playing,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,161.0
13,Pokemon Gold/silver/crystal,GB,1999,Role-Playing,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,170.0
14,Super Mario World,SNES,1990,Platform,Nintendo,,,,,Mark Mothersbaugh,1950-05-18,,,4.6,0.3681,3.0
15,Super Mario World,SNES,1990,Platform,Nintendo,,,,,Mark Mothersbaugh,1950-05-18,,,4.6,0.3681,621.0
16,Super Mario World,SNES,1990,Platform,Nintendo,,,,,Mark Mothersbaugh,1950-05-18,,,4.6,0.3681,800.0
